"name","label"
"cmdb_consumable_product_model","Consumable Model"
"cmdb_ci_service","Service"
"sp_dependency","Widget Dependency"
"cmdb_ci_appl_sap_system","SAP System"
"ecc_agent_script_file","MID Server Script File"
"cmdb_ci_aix_server","AIX Server"
"cmdb_ci_sa_scaling_pol_base","Scaling Policy"
"v_metadata_parent","File Parent"
"diagnostic_event","Diagnostic Event"
"sys_status","Component Status"
"cmdb_ire_incomplete_payloads0002","CMDB IRE Incomplete Payloads"
"sys_sg_action_param_map","Action parameters mapping"
"sys_sg_calendar_screen","Calendar screen"
"sys_sg_button_instance","Function instance"
"ts_word","Ts Word"
"pc_vendor_cat_item","Vendor Catalog Item"
"sys_ui_chart","Form Chart"
"sys_report_map_source_mappings","Locations Mappings"
"sc_ic_column","Column"
"v_shared_cache","Shared Cache"
"cmdb_ci_storage_switch","Storage Switch"
"label_entry","Label Entry"
"file_discovery_agent_sync","File Discovery Agent Sync"
"oauth_2_0_credentials","OAuth 2.0 Credentials"
"sys_product_help_page","Help Page"
"item_option_layout","Variable Layout"
"ts_c_5_7","Text Index for cmn_location"
"sys_table_rotation_schedule","Table Rotation Schedule"
"sys_scope_privilege","Cross scope privilege"
"sys_rte_eb_entity","Robust Transform Engine Entity"
"ts_c_16_9","Text Index for sys_metadata"
"cmdb_ci_endpoint_ssis","SSIS Endpoint"
"sys_hub_flow_logic_variable","Logic Variable"
"ecc_action","Action"
"cmdb_ci_dc_plant_eq_power_eq","Direct Current Plant Equipment"
"cmdb_ci_unix_daemon","UNIX Daemon"
"clone_log0001","Clone Log"
"sp_search_facet_filter","Mapped Facet Filter"
"cmdb_inst_application_feed","CMDB Integration Studio Application Data Source"
"plat_lic_exemption","Platform Licensing Exemption"
"cmdb_ci_plotter","Plotter"
"bsm_edge_color","Edge Color"
"sys_ui_mobile_home_page","Mobile Home Page"
"sys_ui_home_section","Home Section"
"cmdb_pid","Application PID"
"cmdb_ci_bridge_domain","Bridge Domain"
"sc_item_option","Options"
"cmdb_rel_ci","CI Relationship"
"cmdb_ci_sun_ldap_dir_server","Sun LDAP Server"
"fx_currency2_instance","FX Currency"
"pa_diagnostic_log","Diagnostic Log"
"sys_on_call_shift_template","On-Call Shift Template"
"cmdb","Base Configuration Item"
"cmdb_ci_exchange_hub","ExchangeHub"
"cmdb_ci_appl_sap_bus_obj","SAP Business Objects"
"sys_currency_conversion_adapter_rule","Currency Adapter Rule"
"sys_duration_conversion_adapter_rule","Time Duration Conversion Adapter Rule"
"ts_c_3_8","Text Index for kb_feedback"
"contract_rel_location","Contract Location"
"ts_c_6_2","Text Index for live_message"
"svc_environment_config","Service Environment Configuration"
"sys_script_client","Client Script"
"sys_ux_lib_picker_slot_var","Picker Slot Variable"
"sys_atf_step_config","Test Step Config"
"v_table_creator","Create Table"
"cmdb_ci_azure_datacenter","Azure Datacenter"
"sys_declarative_action_definition","Action Definition"
"cmdb_recommendation_source_data","CMDB Recommendation Source Data"
"cmdb_ci_server_hardware","Server Hardware"
"asmt_template","Assessment Metric Template"
"cmdb_ci_lb_datacenter","LB Datacenter"
"cmdb_ci_mpio_pool_path","Multipath IO Pool Path"
"cmdb_ci_endpoint_ms_sql","MS SQL db inclusion"
"snmp_credentials","SNMP Community Credentials (Password Only)"
"cmdb_ci_storage_vol_snapshot","Storage Volume Snapshot"
"cmdb_ip_service_ci","Service"
"sys_time_dimension","Sys Time Dimension"
"ts_synonym_dictionary","Synonym Dictionary"
"ts_v4_14_1","Text Index for sys_user"
"cmdb_ci_ip_server","IP Server"
"cmdb_ci_outofband_device","Out-of-Band Device"
"stage_set","Stage Set"
